id,name,email,age,cohort,graduation_date,mode
374,***,***,25,Data Engineering,2023-09-13,In-person
375,***,***,31,Web development,2025-03-26,In-person
376,***,***,28,Software Engineering,2023-02-28,Online
377,***,***,22,Data Science,2023-04-23,Online
378,***,***,33,Data Engineering,2023-12-03,Online
379,***,***,30,Data Science,2024-01-12,In-person
380,***,***,36,Software Engineering,2024-01-17,Online
381,***,***,36,Data Engineering,2026-02-13,Online
382,***,***,44,Web development,2027-08-01,In-person
383,***,***,38,Web development,2024-06-27,In-person
384,***,***,28,Data Science,2023-10-12,Online
385,***,***,25,Data Engineering,2024-10-11,Online
386,***,***,27,Software Engineering,2023-11-16,In-person
387,***,***,26,Software Engineering,2024-02-20,In-person
388,***,***,33,Data Engineering,2024-02-14,In-person
389,***,***,32,Data Engineering,2023-07-28,In-person
390,***,***,33,Data Science,2027-06-25,Online
391,***,***,27,Web development,2025-11-25,In-person
392,***,***,26,Data Engineering,2027-06-15,In-person
393,***,***,29,Web development,2023-06-01,In-person
394,***,***,45,Data Engineering,2027-06-15,In-person
395,***,***,27,Machine Learning,2025-04-02,Online
396,***,***,45,Data Engineering,2027-03-09,Online
397,***,***,36,Web development,2023-05-31,Online
398,***,***,44,Data Engineering,2026-03-04,In-person
399,***,***,33,Machine Learning,2025-04-28,Online
400,***,***,30,Web development,2025-04-04,In-person
401,***,***,40,Data Science,2027-07-15,Online
402,***,***,25,Web development,2026-10-30,In-person
403,***,***,44,Machine Learning,2027-01-25,Online
404,***,***,34,Software Engineering,2023-09-09,In-person
405,***,***,28,Data Engineering,2023-07-24,In-person
406,***,***,34,Machine Learning,2023-07-29,Online
407,***,***,34,Web development,2024-06-23,Online
408,***,***,38,Machine Learning,2027-01-17,Online
409,***,***,35,Data Engineering,2027-01-03,In-person
410,***,***,34,Machine Learning,2026-05-12,Online
411,***,***,22,Data Science,2027-05-07,Online
412,***,***,27,Software Engineering,2024-01-23,Online
413,***,***,41,Web development,2023-02-28,Online
414,***,***,29,Machine Learning,2026-03-20,In-person
415,***,***,40,Data Science,2025-09-24,In-person
416,***,***,39,Data Engineering,2027-02-21,Online
417,***,***,44,Web development,2027-09-06,Online
418,***,***,35,Data Engineering,2026-09-15,Online
419,***,***,45,Data Science,2026-01-22,Online
420,***,***,26,Data Science,2023-04-24,In-person
421,***,***,35,Software Engineering,2024-11-30,Online
422,***,***,23,Data Science,2025-02-19,Online
423,***,***,22,Web development,2025-04-06,Online
424,***,***,36,Machine Learning,2024-09-09,Online
425,***,***,27,Software Engineering,2023-02-18,In-person
426,***,***,33,Software Engineering,2027-08-31,In-person
427,***,***,44,Web development,2027-06-14,Online
428,***,***,34,Web development,2027-08-19,In-person
429,***,***,25,Data Science,2027-02-08,Online
430,***,***,28,Machine Learning,2023-06-01,In-person
431,***,***,32,Machine Learning,2023-03-12,Online
432,***,***,30,Data Engineering,2023-10-30,Online
433,***,***,31,Machine Learning,2023-12-16,In-person
434,***,***,44,Software Engineering,2025-04-20,Online
435,***,***,25,Software Engineering,2027-05-19,Online
436,***,***,36,Data Science,2023-11-02,Online
437,***,***,27,Data Science,2024-09-28,In-person
438,***,***,23,Web development,2023-07-14,Online
439,***,***,33,Software Engineering,2026-11-28,Online
440,***,***,43,Machine Learning,2024-06-04,Online
441,***,***,44,Data Engineering,2025-01-28,Online
442,***,***,33,Web development,2023-12-19,Online
443,***,***,32,Data Engineering,2026-04-13,Online
444,***,***,27,Web development,2025-06-03,Online
445,***,***,34,Web development,2024-03-29,Online
446,***,***,26,Data Science,2026-02-01,Online
447,***,***,32,Data Science,2024-09-08,In-person
448,***,***,40,Software Engineering,2025-06-22,In-person
449,***,***,28,Machine Learning,2025-12-08,In-person
450,***,***,32,Data Engineering,2026-05-08,Online
451,***,***,26,Machine Learning,2023-08-07,Online
452,***,***,22,Data Engineering,2022-12-04,Online
453,***,***,26,Data Science,2026-08-12,Online
454,***,***,39,Software Engineering,2024-12-13,In-person
455,***,***,44,Data Science,2023-07-20,In-person
456,***,***,37,Data Science,2022-10-31,Online
457,***,***,35,Web development,2026-03-05,In-person
458,***,***,44,Data Engineering,2025-09-20,In-person
459,***,***,45,Machine Learning,2023-03-30,Online
460,***,***,33,Web development,2025-12-26,Online
461,***,***,23,Data Engineering,2027-06-19,Online
462,***,***,32,Web development,2023-06-24,In-person
463,***,***,26,Data Science,2026-06-25,Online
464,***,***,44,Web development,2024-03-30,Online
465,***,***,40,Data Engineering,2023-07-07,In-person
466,***,***,24,Data Science,2026-07-04,In-person
467,***,***,26,Data Science,2027-09-14,In-person
468,***,***,33,Data Science,2026-12-02,Online
469,***,***,24,Data Engineering,2027-05-26,Online
470,***,***,31,Web development,2027-09-25,In-person
471,***,***,34,Data Science,2022-12-07,Online
472,***,***,26,Software Engineering,2025-11-05,Online
473,***,***,31,Data Science,2024-11-11,In-person
474,***,***,42,Web development,2024-03-03,Online
475,***,***,41,Machine Learning,2024-03-07,Online
476,***,***,23,Data Engineering,2026-06-18,In-person
477,***,***,23,Data Science,2023-02-15,In-person
478,***,***,23,Data Science,2024-12-13,In-person
479,***,***,27,Data Science,2024-07-24,In-person
480,***,***,36,Data Science,2025-01-24,Online
481,***,***,37,Data Science,2025-06-07,In-person
482,***,***,45,Web development,2026-10-21,In-person
483,***,***,41,Data Science,2022-12-25,Online
484,***,***,38,Software Engineering,2026-03-21,In-person
485,***,***,34,Web development,2027-06-05,In-person
486,***,***,34,Machine Learning,2025-05-01,Online
487,***,***,37,Data Engineering,2024-02-23,In-person
488,***,***,41,Software Engineering,2025-08-22,Online
489,***,***,36,Software Engineering,2026-09-04,Online
490,***,***,39,Machine Learning,2027-01-14,Online
491,***,***,23,Software Engineering,2023-08-29,Online
492,***,***,41,Machine Learning,2023-02-16,In-person
493,***,***,45,Data Science,2023-02-28,Online
494,***,***,43,Machine Learning,2025-05-28,In-person
495,***,***,23,Web development,2024-11-12,In-person
496,***,***,42,Machine Learning,2025-06-12,Online
497,***,***,24,Data Science,2026-07-06,Online
498,***,***,27,Software Engineering,2023-02-26,Online
499,***,***,26,Software Engineering,2024-11-20,In-person
500,***,***,35,Machine Learning,2024-10-30,Online
501,***,***,27,Data Science,2027-03-29,In-person
502,***,***,30,Data Engineering,2027-01-31,Online
503,***,***,26,Data Engineering,2025-02-06,Online
504,***,***,25,Data Engineering,2026-09-17,In-person
505,***,***,32,Machine Learning,2025-05-10,In-person
506,***,***,23,Software Engineering,2023-04-01,Online
507,***,***,38,Machine Learning,2026-09-25,In-person
508,***,***,42,Machine Learning,2024-09-06,Online
509,***,***,27,Data Science,2023-10-21,In-person
510,***,***,44,Data Engineering,2024-11-12,Online
511,***,***,26,Web development,2025-06-07,In-person
512,***,***,28,Software Engineering,2022-11-10,In-person
513,***,***,39,Software Engineering,2024-08-31,Online
514,***,***,25,Machine Learning,2025-09-27,In-person
515,***,***,32,Data Engineering,2025-01-19,Online
516,***,***,39,Web development,2025-06-24,In-person
517,***,***,29,Software Engineering,2023-01-09,In-person
518,***,***,41,Machine Learning,2027-05-30,Online
519,***,***,36,Data Engineering,2027-02-18,Online
520,***,***,30,Software Engineering,2025-10-17,Online
521,***,***,25,Machine Learning,2024-09-18,Online
522,***,***,31,Software Engineering,2027-02-21,In-person
523,***,***,40,Data Science,2023-11-25,Online
524,***,***,44,Software Engineering,2027-03-12,In-person
525,***,***,22,Data Science,2025-02-26,Online
526,***,***,45,Data Engineering,2024-03-17,Online
527,***,***,41,Web development,2024-07-26,Online
528,***,***,42,Web development,2026-01-25,In-person
529,***,***,38,Web development,2024-12-03,In-person
530,***,***,39,Data Science,2026-04-28,Online
531,***,***,24,Data Engineering,2024-11-08,In-person
532,***,***,43,Machine Learning,2025-08-10,Online
533,***,***,42,Machine Learning,2022-10-19,Online
534,***,***,44,Software Engineering,2026-08-17,Online
535,***,***,31,Machine Learning,2027-06-09,Online
536,***,***,40,Machine Learning,2023-05-04,Online
537,***,***,37,Data Science,2023-02-10,In-person
538,***,***,32,Software Engineering,2025-05-12,In-person
539,***,***,40,Data Science,2024-10-05,In-person
540,***,***,24,Machine Learning,2023-02-25,Online
541,***,***,44,Data Engineering,2024-09-25,In-person
542,***,***,29,Data Science,2024-03-31,In-person
543,***,***,31,Machine Learning,2026-03-23,In-person
544,***,***,41,Software Engineering,2022-11-21,Online
545,***,***,38,Data Science,2023-11-25,Online
546,***,***,41,Data Science,2026-09-21,Online
547,***,***,23,Machine Learning,2026-07-04,In-person
548,***,***,25,Data Science,2024-10-07,Online
549,***,***,33,Data Science,2026-08-30,Online
550,***,***,42,Data Science,2025-01-09,Online
551,***,***,28,Data Science,2023-06-05,In-person
552,***,***,26,Data Science,2022-10-20,Online
553,***,***,38,Machine Learning,2022-12-28,In-person
554,***,***,22,Software Engineering,2026-12-11,Online
555,***,***,33,Software Engineering,2027-03-17,Online
556,***,***,45,Web development,2022-12-06,In-person
557,***,***,38,Web development,2024-12-18,In-person
558,***,***,23,Machine Learning,2024-01-23,In-person
559,***,***,40,Data Engineering,2023-11-04,Online
560,***,***,27,Web development,2025-02-08,In-person
561,***,***,29,Machine Learning,2025-09-24,Online
562,***,***,43,Data Science,2026-09-09,In-person
563,***,***,26,Machine Learning,2023-10-06,Online
564,***,***,42,Data Engineering,2024-04-13,Online
565,***,***,39,Data Science,2026-10-24,Online
566,***,***,38,Software Engineering,2025-12-29,In-person
567,***,***,39,Data Science,2026-04-06,Online
568,***,***,39,Machine Learning,2027-02-11,Online
569,***,***,30,Web development,2022-11-03,In-person
570,***,***,22,Web development,2026-02-26,In-person
